Recommendation;Subscription ID;Subscription Name;Resource Group;Resource Name;Type;Updated Date;Recommendation rule;Potential Annual Retail Cost Savings;Potential Cost Savings Currency;Potential Cost Savings Percentage;CPU (%);Network (%);Memory (%);Look Back Period (Days);Recommended action 1;Recommended action 2;
Right-size or shutdown underutilized virtual machines;4ecf3830-c880-4410-9c3b-21919c807bad;s-sis-ch-prod-01 (4ecf3830-c880-4410-9c3b-21919c807bad);rg-crd-prod-jira-01;crdwsr0237;Virtual machine;2023-07-03T02:16:53.164Z;CPU utilization < 10%;9,864.00;USD;;9;0;28;14;Resize Standard_F16s_v2 to Standard_D4s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;4ecf3830-c880-4410-9c3b-21919c807bad;s-sis-ch-prod-01 (4ecf3830-c880-4410-9c3b-21919c807bad);rg-crd-prod-lblcapplication-01;crdwsr0198;Virtual machine;2023-07-03T02:56:09.260Z;CPU utilization < 10%;20,112.00;USD;;8;0;23;14;Resize Standard_M32ls to Standard_M8ms;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;4ecf3830-c880-4410-9c3b-21919c807bad;s-sis-ch-prod-01 (4ecf3830-c880-4410-9c3b-21919c807bad);rg-crd-prod-oneintegrity-01;shhwsr2223;Virtual machine;2023-07-03T02:22:17.872Z;CPU utilization < 10%;22,836.00;USD;;6;0;32;14;Resize Standard_F32s_v2 to Standard_E4s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;4ecf3830-c880-4410-9c3b-21919c807bad;s-sis-ch-prod-01 (4ecf3830-c880-4410-9c3b-21919c807bad);rg-crd-prod-wibu-01;shhxap0324;Virtual machine;2023-07-03T03:25:56.222Z;CPU utilization < 10%;924.00;USD;;1;0;14;14;Resize Standard_F4s_v2 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-cis-prod-iccs-01;shhlsr0134;Virtual machine;2023-07-03T03:36:21.513Z;Unavailable;2,484.00;USD;;8;0;16;14;Resize Standard_F8s_v2 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-mil-prod-dynamics-01;milwsr4159;Virtual machine;2023-07-03T03:18:39.936Z;Unavailable;9,744.00;USD;;8;0;12;14;Resize Standard_F16s_v2 to Standard_F4s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-shh-prod-beyondtrustremotesupport-01;shhxap0298;Virtual machine;2023-07-03T05:36:53.286Z;Unavailable;312.00;USD;;6;0;17;14;Resize Standard_DS2_v2 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-shh-prod-claroty-01;shhxap0319;Virtual machine;2023-07-03T04:38:02.908Z;Unavailable;10,836.00;USD;;3;0;25;14;Resize Standard_F32s_v2 to Standard_E4-2s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-shh-prod-csa-01;shhxap0269;Virtual machine;2023-07-03T02:22:09.669Z;Unavailable;828.00;USD;;5;0;21;14;Resize Standard_F4s_v2 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-shh-prod-csa-01;shhxap0270;Virtual machine;2023-07-03T05:12:21.335Z;Unavailable;828.00;USD;;3;0;18;14;Resize Standard_F4s_v2 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-shh-prod-csa-01;shhxap0271;Virtual machine;2023-07-03T04:05:48.033Z;Unavailable;828.00;USD;;3;0;18;14;Resize Standard_F4s_v2 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-shh-prod-sap-01;shhlsr5001;Virtual machine;2023-07-03T03:16:12.035Z;Unavailable;11,628.00;USD;;5;0;37;14;Resize Standard_M32ls to Standard_M8-4ms;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-shh-prod-vidm-01;shhwsr2653;Virtual machine;2023-07-03T05:12:26.491Z;Unavailable;4,872.00;USD;;9;0;17;14;Resize Standard_F8s_v2 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-shh-prod-vidm-01;shhwsr2654;Virtual machine;2023-07-03T03:55:34.547Z;Unavailable;4,872.00;USD;;9;0;17;14;Resize Standard_F8s_v2 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg_network_prod;shhnfmcdc0001;Virtual machine;2023-07-03T02:14:31.097Z;Unavailable;216.00;USD;;2;0;56;14;Resize Standard_DS2_v2 to Standard_D2s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg_network_prod;shhnwg3001;Virtual machine;2023-07-03T03:33:50.391Z;Unavailable;1,056.00;USD;;8;0;49;14;Resize Standard_DS3_v2 to Standard_E2s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-bas-prod-iccs-03;vm-prod-iccs-slscsa0004;Virtual machine;2023-07-03T03:36:47.932Z;Unavailable;1,656.00;USD;;5;0;25;14;Resize Standard_DS3_v2 to Standard_D2s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-bas-prod-iccs-04;shhlsr0249;Virtual machine;2023-07-03T03:03:03.664Z;Unavailable;3,240.00;USD;;8;0;11;14;Resize Standard_D8s_v3 to Standard_D2s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-bas-prod-iccs-04;shhlsr0251;Virtual machine;2023-07-03T03:38:45.272Z;Unavailable;3,240.00;USD;;8;0;12;14;Resize Standard_D8s_v3 to Standard_D2s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-cis-networktest5001;slsnvmtest0001;Virtual machine;2023-07-03T02:20:20.415Z;Unavailable;3,492.00;USD;;9;0;22;14;Resize Standard_DS3_v2 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-cis-prod-landeskdepot-01;shhwsr2415;Virtual machine;2023-07-03T03:45:26.577Z;Unavailable;6,096.00;USD;;9;0;23;14;Resize Standard_F16s_v2 to Standard_F8s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-cis-prod-network-02;slsnwg1001;Virtual machine;2023-07-03T03:19:46.027Z;Unavailable;576.00;USD;;6;0;58;14;Resize Standard_DS3_v2 to Standard_D4s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-cis-prod-network-02;slsnwg1005;Virtual machine;2023-07-03T03:36:17.888Z;Unavailable;1,884.00;USD;;1;0;16;14;Resize Standard_DS3_v2 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-cis-prod-network-02;slsnwg1006;Virtual machine;2023-07-03T04:21:48.774Z;Unavailable;1,656.00;USD;;1;0;30;14;Resize Standard_DS3_v2 to Standard_D2s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-cis-prod-network-02;vm-prod-network-slsnwg0001;Virtual machine;2023-07-03T02:17:40.289Z;Unavailable;576.00;USD;;5;0;67;14;Resize Standard_DS3_v2 to Standard_D4s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-cis-prod-network-02;vm-prod-network-slsnwg0002;Virtual machine;2023-07-03T03:24:17.188Z;Unavailable;576.00;USD;;9;0;67;14;Resize Standard_DS3_v2 to Standard_D4s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-cis-prod-network-04;testvm;Virtual machine;2023-07-03T04:21:48.743Z;Unavailable;3,132.00;USD;;3;0;41;14;Resize Standard_DS3_v2 to Standard_D2s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-scn-prod-applicationweb-01;vm-prod-scf-e-sign-application-scnwsr4101;Virtual machine;2023-07-03T02:10:20.580Z;Unavailable;3,924.00;USD;;9;0;41;14;Resize Standard_F8s_v2 to Standard_E2s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-scn-prod-commercialapprovalplatform-01;scnwsr4104;Virtual machine;2023-07-03T02:17:37.914Z;Unavailable;3,924.00;USD;;8;0;43;14;Resize Standard_F8s_v2 to Standard_E2s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;75e8f45a-2aca-41b3-83ea-c3ee4c60e579;s-sis-eu-prod-vdi-01 (75e8f45a-2aca-41b3-83ea-c3ee4c60e579);rg-cis-prod-vditest-01;espwcl99086;Virtual machine;2023-07-03T03:48:31.470Z;Unavailable;1,620.00;USD;;5;0;36;14;Resize Standard_F4s_v2 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;75e8f45a-2aca-41b3-83ea-c3ee4c60e579;s-sis-eu-prod-vdi-01 (75e8f45a-2aca-41b3-83ea-c3ee4c60e579);rg-cis-prod-vditest-01;zzzwcl99202-tstglobal;Virtual machine;2023-07-03T04:40:49.321Z;Unavailable;96.00;USD;;8;0;28;14;Resize Standard_D2s_v3 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;7fa3c3a2-7d0d-4987-a30c-30623e38756c;s-sis-eu-nonprod-01 (7fa3c3a2-7d0d-4987-a30c-30623e38756c);rg-shh-dev-ioeevpntermination-01;shhlsr0099;Virtual machine;2023-07-03T02:10:10.582Z;Unavailable;264.00;USD;;4;0;21;14;Resize Standard_D2ds_v4 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;7fa3c3a2-7d0d-4987-a30c-30623e38756c;s-sis-eu-nonprod-01 (7fa3c3a2-7d0d-4987-a30c-30623e38756c);rg-shh-qual-sap-01;shhlsr6001;Virtual machine;2023-07-03T03:10:13.224Z;Unavailable;11,628.00;USD;;8;0;37;14;Resize Standard_M32ls to Standard_M8ms;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;e03c610e-a71c-4518-a4a3-8ce128fca34d;s-sis-am-prod-01 (e03c610e-a71c-4518-a4a3-8ce128fca34d);rg-cis-prod-network-01;secnwg0001;Virtual machine;2023-07-03T02:17:59.514Z;Unavailable;324.00;USD;;5;0;67;14;Resize Standard_DS3_v2 to Standard_D4s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;e03c610e-a71c-4518-a4a3-8ce128fca34d;s-sis-am-prod-01 (e03c610e-a71c-4518-a4a3-8ce128fca34d);rg-cis-prod-network-01;secnwg0002;Virtual machine;2023-07-03T03:31:26.202Z;Unavailable;324.00;USD;;4;0;65;14;Resize Standard_DS3_v2 to Standard_D4s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;fc986840-4602-40b6-be2f-69cd5c3ea428;s-sis-ch-nonprod-01 (fc986840-4602-40b6-be2f-69cd5c3ea428);rg-crd-dev-jama-01;crdlsr0031;Virtual machine;2023-07-03T03:45:10.776Z;Unavailable;5,532.00;USD;;9;0;16;14;Resize Standard_F16s_v2 to Standard_F4s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;fc986840-4602-40b6-be2f-69cd5c3ea428;s-sis-ch-nonprod-01 (fc986840-4602-40b6-be2f-69cd5c3ea428);rg-crd-dev-pcm2integrity-01;crdwsr0208;Virtual machine;2023-07-03T04:24:02.829Z;Unavailable;23,592.00;USD;;8;0;17;14;Resize Standard_F32s_v2 to Standard_D4s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;fc986840-4602-40b6-be2f-69cd5c3ea428;s-sis-ch-nonprod-01 (fc986840-4602-40b6-be2f-69cd5c3ea428);rg-crd-qual-oneintegrity-01;shhwsr2197;Virtual machine;2023-07-03T04:40:48.461Z;Unavailable;13,740.00;USD;;5;0;25;14;Resize Standard_F32s_v2 to Standard_F16s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;fc986840-4602-40b6-be2f-69cd5c3ea428;s-sis-ch-nonprod-01 (fc986840-4602-40b6-be2f-69cd5c3ea428);rg-crd-qual-wibu-01;shhxap0322;Virtual machine;2023-07-03T02:10:21.424Z;Unavailable;924.00;USD;;6;0;27;14;Resize Standard_F4s_v2 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;fc986840-4602-40b6-be2f-69cd5c3ea428;s-sis-ch-nonprod-01 (fc986840-4602-40b6-be2f-69cd5c3ea428);rg-crd-qual-wibu-01;shhxap0323;Virtual machine;2023-07-03T02:44:48.946Z;Unavailable;924.00;USD;;2;0;15;14;Resize Standard_F4s_v2 to Standard_F2s_v2;View Usage Patterns;
